data,1, 1, 1
data,1, 1, 2
data,1, 1, 3
data,1, 1, 4
data,1, 1, 5
data,1, 1, 6
data,1, 1, 7
data,1, 1, 8
data,1, 1, 9
data,1, 1, 10
data,1, 1, 11
data,1, 1, 12
data,2, 1, 13
data,2, 1, 14
data,2, 1, 15
data,2, 1, 16
data,2, 1, 17
data,2, 1, 18
data,2, 1, 19
data,2, 1, 20
data,2, 1, 21
data,2, 1, 22
data,2, 1, 23
data,3, 1, 24
data,3, 2, 1
data,3, 2, 2
data,4, 2, 3
data,4, 2, 4
data,4, 2, 5
data,4, 2, 6
data,4, 2, 7
data,4, 2, 8
data,4, 2, 9
data,4, 2, 10
data,4, 2, 11
data,4, 2, 12
data,4, 2, 13
data,4, 2, 14
data,4, 2, 15
data,4, 2, 16
data,4, 2, 17
data,5, 2, 18
data,15, 2, 19
data,15, 3, 1
data,15, 3, 2
data,15, 3, 3
data,15, 3, 4
data,16, 3, 5
data,16, 3, 6
data,16, 3, 7
data,16, 3, 8
data,16, 3, 9
data,17, 4, 1
data,18, 3, 10
data,18, 4, 2
data,19, 5, 1
data,20, 6, 1
data,21, 7, 1
data,22, 4, 3
data,23, 5, 2
data,24, 6, 2
data,25, 7, 2
data,26, 4, 4
data,27, 5, 3
data,28, 6, 3
data,29, 7, 3
data,30, 4, 5
data,31, 5, 4
data,32, 6, 4
data,33, 7, 4
data,34, 4, 6
data,35, 5, 5
data,36, 6, 5
data,37, 7, 5
data,38, 4, 7
data,38, 5, 6
data,39, 6, 6
data,39, 7, 6
data,40, 5, 7
data,41, 7, 7
data,42, 5, 8
data,43, 7, 8
data,44, 5, 9
data,45, 7, 9
data,46, 5, 10
data,47, 7, 10
data,48, 5, 11
data,49, 7, 11
data,50, 5, 12
data,51, 7, 12
data,52, 5, 13
data,53, 7, 13
data,54, 5, 14
data,55, 7, 14
data,56, 5, 15
data,57, 7, 15
data,58, 5, 16
data,59, 7, 16
data,60, 5, 17
data,61, 7, 17
data,62, 5, 18
data,63, 7, 18
data,64, 5, 19
data,65, 7, 19
data,66, 5, 20
data,67, 7, 20
data,68, 5, 21
data,69, 7, 21
data,70, 5, 22
data,71, 7, 22
data,72, 5, 23
data,73, 7, 23
data,74, 5, 24
data,75, 7, 24
data,76, 5, 25
data,77, 7, 25
data,78, 5, 26
data,79, 7, 26
data,80, 5, 27
data,81, 7, 27
data,82, 5, 28
data,83, 7, 28
data,84, 5, 29
data,85, 7, 29
data,86, 5, 30
data,87, 7, 30
data,88, 5, 31
data,89, 7, 31
data,90, 4, 8
data,91, 5, 32
data,92, 6, 7
data,93, 7, 32
data,94, 4, 9
data,95, 5, 33
data,96, 6, 8
data,97, 7, 33
data,98, 4, 10
data,99, 5, 34
data,100, 6, 9
data,101, 7, 34
data,102, 4, 11
data,103, 5, 35
data,104, 6, 10
data,105, 7, 35
data,106, 4, 12
data,107, 5, 36
data,108, 6, 11
data,109, 7, 36
data,110, 4, 13
data,110, 5, 37
data,111, 6, 12
data,111, 7, 37
data,112, 5, 38
data,113, 7, 38
data,114, 5, 39
data,115, 7, 39
data,116, 5, 40
data,117, 7, 40
data,118, 5, 41
data,119, 7, 41
data,120, 5, 42
data,121, 7, 42
data,122, 5, 43
data,123, 7, 43
data,124, 5, 44
data,125, 7, 44
data,126, 5, 45
data,127, 7, 45
data,128, 5, 46
data,129, 7, 46
data,130, 5, 47
data,131, 7, 47
data,132, 5, 48
data,133, 7, 48
data,134, 5, 49
data,135, 7, 49
data,136, 5, 50
data,137, 7, 50
data,138, 5, 51
data,139, 7, 51
data,140, 5, 52
data,141, 7, 52
data,142, 5, 53
data,143, 7, 53
data,144, 5, 54
data,145, 7, 54
data,146, 5, 55
data,147, 7, 55
data,148, 5, 56
data,149, 7, 56
data,150, 5, 57
data,151, 7, 57
data,152, 5, 58
data,153, 7, 58
data,154, 5, 59
data,155, 7, 59
data,156, 5, 60
data,157, 7, 60
data,158, 5, 61
data,159, 7, 61
data,160, 5, 62
data,161, 7, 62
data,162, 4, 14
data,163, 5, 63
data,164, 6, 13
data,165, 7, 63
data,166, 4, 15
data,167, 5, 64
data,168, 6, 14
data,169, 7, 64
data,170, 4, 16
data,171, 5, 65
data,172, 6, 15
data,173, 7, 65
data,174, 4, 17
data,175, 5, 66
data,176, 6, 16
data,177, 7, 66
data,178, 4, 18
data,179, 5, 67
data,180, 6, 17
data,181, 7, 67
data,182, 4, 19
data,182, 5, 68
data,183, 6, 18
data,183, 7, 68
data,184, 5, 69
data,185, 7, 69
data,186, 5, 70
data,187, 7, 70
data,188, 5, 71
data,189, 7, 71
data,190, 5, 72
data,191, 7, 72
data,192, 5, 73
data,193, 7, 73
data,194, 5, 74
data,195, 7, 74
data,196, 5, 75
data,197, 7, 75
data,198, 5, 76
data,199, 7, 76
data,200, 5, 77
data,201, 7, 77
data,202, 5, 78
data,203, 7, 78
data,204, 5, 79
data,205, 7, 79
data,206, 5, 80
data,207, 7, 80
data,208, 5, 81
data,209, 7, 81
data,210, 5, 82
data,211, 7, 82
data,212, 5, 83
data,213, 7, 83
data,214, 5, 84
data,215, 7, 84
data,216, 5, 85
